"Lat","Lon","Area_ha","S","N","min_DBH_cm","Tree_def","Notes","Numerical_ID","Plot_ID","Dataset","Ref_short","Ref_long","TREE_DENS","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK"
47.184,128.907,0.1,11,48,10,"trees",NA,12,"Wu_P6","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",46516,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
47.184,128.907,0.1,7,50,10,"trees",NA,13,"Wu_P7","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",46516,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
47.184,128.907,0.1,11,57,10,"trees",NA,14,"Wu_P8","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",46516,8110,3732.58325195312,0.3,18.3,23,19,100,169,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
44.365,128.219,0.06,10,123,10,"trees",NA,15,"Wu_P9","Wu_NE_China","Wu et al. 2004","Wu et al. (2004) Comparison of community structure and species diversity of mixed forests of deciduous broad-leaved tree and Korean pine in Northeast China. Biodiversity Science 12: 174-181.",52135,8370,5105.91650390625,-1.2,15.5,24,23,97,172,0,"Temperate Broadleaf and Mixed Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.06,2,96,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",16,"Baik_1","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.06,2,102,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",17,"Baik_2","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.04,3,116,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",18,"Baik_3","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.04,1,145,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",19,"Baik_4","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.06,3,154,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",20,"Baik_5","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.06,1,53,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",21,"Baik_6","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,2,75,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",22,"Baik_7","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,1,88,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",23,"Baik_8","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,1,66,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",24,"Baik_9","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,2,173,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",25,"Baik_10","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,5,87,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",26,"Baik_11","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.08,2,94,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",27,"Baik_12","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.01,5,28,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",28,"Baik_13","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
51.6,123.067,0.02,4,107,NA,"trees","Lat and Lon coordinates in this study are available only for the highest point.",29,"Baik_14","Zhao_Baikalu","Zhao et al. 2004","Zhao et al. (2004) Structure and species diversity of boreal forests in Mt. Baikalu, Huzhong area, Daxingan Mountains, Northeast China. Biodiversity Science 12: 182-189.",54204,7736,4024.16674804688,-6,13.4,26,16,102,107,0,"Temperate Conifer Forests","Palearctic","Eastern Palearctic"
21.483,101.567,0.25,68,308,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",30,"Cao_1","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,54,154,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",31,"Cao_2","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,43,142,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",32,"Cao_3","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,77,257,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",33,"Cao_4","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,57,187,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",34,"Cao_5","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,58,278,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",35,"Cao_6","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,63,158,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",36,"Cao_7","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.25,52,184,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",37,"Cao_8","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.16,49,142,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",38,"Cao_9","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.16,44,123,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",39,"Cao_10","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.16,48,164,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",40,"Cao_11","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.12,29,164,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",41,"Cao_12","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.12,21,165,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",42,"Cao_13","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.12,31,205,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",43,"Cao_14","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.04,19,150,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",44,"Cao_15","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.04,15,150,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",45,"Cao_16","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
21.483,101.567,0.04,11,142,5,"trees","Lat and Lon coordinates are all for the nearest meteorological station in Mengla.",46,"Cao_17","Cao_Zhang_SW_China","Cao and Zhang 1997","Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.",0,25392,9794,22.7,25.8,55,75,77,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8472,117.8553,0.04,11,91,5,"trees",NA,47,"E1","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",99993,14109,6486.41650390625,14.2,22.7,26,195,54,536,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8789,117.8498,0.04,15,17,5,"trees",NA,48,"E2","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",63747,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8843,117.842,0.04,21,199,5,"trees",NA,49,"E3","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",84760,15961,8786.1669921875,15.6,24.3,27,195,57,547,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8776,117.8449,0.06,37,162,5,"trees",NA,50,"E4","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",84282,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8772,117.8442,0.06,42,196,5,"trees",NA,51,"E5","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",84282,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.877,117.8429,0.06,32,142,5,"trees",NA,52,"E6","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",84282,17410,11395.8330078125,16.7,25.4,27,193,59,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8769,117.8416,0.06,38,145,5,"trees",NA,53,"E7","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",84282,16131,7822.16650390625,15.5,24.2,27,195,57,348,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8765,117.8396,0.06,38,238,5,"trees",NA,54,"E8","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.876,117.838,0.06,36,194,5,"trees",NA,55,"E9","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8761,117.8368,0.06,24,249,5,"trees",NA,56,"E10","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8758,117.8352,0.06,19,197,5,"trees",NA,57,"E11","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8754,117.8338,0.06,32,313,5,"trees",NA,58,"E12","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,16131,7822.16650390625,15.5,24.2,27,195,57,435,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8755,117.8323,0.06,15,355,5,"trees",NA,59,"E13","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",82457,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8756,117.83,0.06,25,388,5,"trees",NA,60,"E14","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",56754,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8758,117.829,0.06,16,528,5,"trees",NA,61,"E15","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",56754,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.876,117.8274,0.06,12,188,5,"trees",NA,62,"E16","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",56754,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8763,117.8257,0.06,28,233,5,"trees",NA,63,"E17","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",56754,14774,6763.16650390625,14.4,22.8,26,196,54,573,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.8777,117.8235,0.06,22,397,5,"trees",NA,64,"E18","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",61135,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
27.877,117.8221,0.06,9,397,5,"trees",NA,65,"E19","Zheng_Fujian","Zheng et al. 2004","Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.",61135,14381,6821.33349609375,12.8,21.1,25,195,53,560,0,"Tropical and Subtropical Moist Broadleaf Forests","Indo-Malay","Indo-Malay"
