Taxon name,Author
Acacia cernua,Thulin & A.S.Hassan
Acacia chariessa,Milne-Redh.
Acacia chartacea,Maslin
Acacia cheelii,Blakely
Acacia cheilanthifolia,Chiov.
Acacia chiapensis,Saff.
Acacia chrysotricha,Tindale
Acacia chundra,(Roxb. ex Rottler) Willd.
Acacia cincinnata,F.Muell.
Acacia citrinoviridis,Tindale & Maslin
Acacia clivicola,Pedley
Acacia clunies-rossiae,Maiden
Acacia cockertoniana,Maslin
Acacia cognata,Domin
Acacia colei,Maslin & L.A.J.Thomson
Acacia colletioides,A.Cunn. ex Benth.
Acacia complanata,A.Cunn. ex Benth.
Acacia concinna,(Willd.) DC.
Acacia concurrens,Pedley
Acacia condyloclada,Chiov.
Acacia conferta,A.Cunn. ex Benth.
Acacia confusa,Merr.
Acacia conniana,Maslin
Acacia conspersa,F.Muell.
Acacia convallium,Pedley
Acacia coolgardiensis,Maiden
Acacia coriacea,DC.
Acacia courtii,Tindale & Hersc.
Acacia covenyi,Tindale
Acacia cowaniana,Maslin
Acacia cowleana,Tate
Acacia craspedocarpa,F.Muell.
Acacia crassa,Pedley
Acacia crassicarpa,A.Cunn. ex Benth.
Acacia crassiuscula,H.L.Wendl.
Acacia crenulata,R.S.Cowan & Maslin
Acacia cretacea,Maslin & Whibley
Acacia cretata,Pedley
Acacia crombiei,C.T.White
Acacia cultriformis,A.Cunn. ex G.Don
Acacia curvinervia,Maiden
Acacia cuspidifolia,Maslin
Acacia cuthbertsonii,Luehm.
Acacia cyclops,A.Cunn. ex G.Don
Acacia cyperophylla,F.Muell. ex Benth.
Acacia dallachiana,F.Muell.
Acacia dangarensis,Tindale & Kodela
Acacia davyi,N.E.Br.
Acacia dawsonii,R.T.Baker
Acacia dealbata,Link
Acacia deanei,"(R.T.Baker) R.T.Baker ex Welch, Coombs & McGlymn"
Acacia debilis,Tindale
Acacia decora,Rchb.
Acacia decurrens,(J.C.Wendl.) Willd.
Acacia delibrata,A.Cunn. ex Benth.
Acacia demissa,R.S.Cowan & Maslin
Acacia dempsteri,F.Muell.
Acacia densispina,Thulin
Acacia dentifera,Benth.
Acacia desertorum,Maiden
Acacia desmondii,Maslin
Acacia didyma,A.R.Chapm. & Maslin
Acacia dietrichiana,F.Muell.
Acacia difficilis,Maiden
Acacia difformis,R.T.Baker
Acacia disparrima,M.W.McDonald & Maslin
Acacia distans,Maslin
Acacia dodonaeifolia,(Pers.) Balb.
Acacia dolichocephala,Harms
Acacia dolichophylla,Maslin
Acacia donaldii,Haines
Acacia donaldsonii,R.S.Cowan & Maslin
Acacia doratoxylon,A.Cunn.
Acacia drepanophylla,Maslin
Acacia dudgeonii,Craib ex Holland
Acacia dunnii,(Maiden) Turrill
Acacia duriuscula,W.Fitzg.
Acacia ebutsiniorum,P.J.H.Hurter
Acacia echinuliflora,G.J.Leach
Acacia effusifolia,Maslin & Buscumb
Acacia ehrenbergiana,Hayne
Acacia elachantha,M.W.McDonald & Maslin
Acacia elata,A.Cunn. ex Benth.
Acacia elatior,Brenan
Acacia elongata,Sieber ex DC.
Acacia enervia,Maiden
Acacia ensifolia,Pedley
Acacia ephedroides,Benth.
Acacia eremaea,C.R.P.Andrews
Acacia eriantha,Desv.
Acacia eriocarpa,Brenan
Acacia eriopoda,Maiden
Acacia erubescens,Welw. ex Oliv.
Acacia erythrophloea,Brenan
Acacia estrophiolata,F.Muell.
Acacia etbaica,Schweinf.
Acacia excelsa,Benth.
Acacia exigua,I.M.Turner
Acacia exudans,Lindl.
Acacia exuvialis,I.Verd.
Acacia falcata,Willd.
Acacia falciformis,DC.
Acacia fasciculifera,F.Muell. ex Benth.
Acacia fauntleroyi,(Maiden) Maiden
Acacia filicifolia,Cheel & Welch
Acacia filifolia,Benth.
Acacia fimbriata,A.Cunn. ex G.Don
Acacia fischeri,Harms
Acacia flagellaris,Thulin
Acacia flavescens,A.Cunn. ex Benth.
Acacia fleckeri,Pedley
Acacia fleckii,Schinz
Acacia flocktoniae,Maiden
Acacia floribunda,(Vent.) Willd.
Acacia floydii,Tindale
Acacia frigescens,J.H.Willis
Acacia fulva,Tindale
Acacia fumosa,Thulin
Acacia furcatispina,Burkart
Acacia fuscaneura,Maslin & J.E.Reid
Acacia galeata,Maslin
Acacia gardneri,Maiden
Acacia gaumeri,S.F.Blake
Acacia georgensis,Tindale
Acacia georginae,F.M.Bailey
Acacia gerrardii,Benth.
Acacia gibbosa,R.S.Cowan & Maslin
Acacia gillii,(Maiden) Maiden & Blakely
Acacia glaucocaesia,Domin
Acacia glaucocarpa,Maiden
Acacia gnidium,Benth.
Acacia goetzei,Harms
Acacia gonocarpa,F.Muell.
Acacia gonoclada,F.Muell.
Acacia gourmaensis,A.Chev.
Acacia grandicornuta,Gerstner
Acacia grandifolia,Pedley
Acacia grasbyi,Maiden
Acacia guarensis,L.Cardenas & F.García
Acacia gummifera,Willd.
Acacia haematoxylon,Willd.
Acacia hakeoides,A.Cunn. ex Benth.
Acacia hamersleyensis,Maslin
Acacia hammondii,Maiden
Acacia hamulosa,Benth.
Acacia harmandiana,(Pierre) Gagnep.
Acacia harpophylla,F.Muell. ex Benth.
Acacia havilandiorum,Maiden
Acacia hebeclada,DC.
Acacia hecatophylla,Steud. ex A.Rich.
Acacia hemignosta,F.Muell.
Acacia hemsleyi,Maiden
Acacia hereroensis,Engl.
Acacia heteroclita,Meisn.
Acacia heterophylla,(Lam.) Willd.
Acacia holosericea,A.Cunn. ex G.Don.
Acacia holotricha,Pedley
Acacia homaloclada,F.Muell.
Acacia horrida,(L.) Willd.
Acacia howittii,F.Muell.
Acacia huarango,J.F.Macbr.
Acacia hunteri,Oliv.
Acacia hydaspica,J.R.Drumm. ex R.Parker
Acacia hylonoma,Pedley
Acacia implexa,Benth.
Acacia inaequilatera,Domin
Acacia inceana,Domin
Acacia incurvaneura,Maslin & J.E.Reid
Acacia ingramii,Tindale
Acacia inophloia,Maiden
Acacia inopinata,Prain
Acacia intorta,Maslin
Acacia irrorata,Siebold ex Spreng.
Acacia islana,Pedley
Acacia ixodes,Pedley
Acacia jacquemontii,Benth.
Acacia jamesiana,Maslin
Acacia jasperensis,Maconochie
Acacia jennerae,Maiden
Acacia jensenii,Maiden
Acacia jibberdingensis,Maiden
Acacia johnwoodii,Boulos
Acacia jucunda,Maiden
Acacia julifera,Benth.
Acacia kauaiensis,Hillebr.
Acacia kelleri,F.Muell.
Acacia kempeana,F.Muell.
Acacia kenneallyi,R.S.Cowan & Maslin
Acacia kettlewelliae,Maiden
Acacia kingii,Prain
Acacia kirkii,Oliv.
Acacia koa,A.Gray
Acacia koaia,Hillebr.
Acacia kosiensis,P.P.Sw. ex Coates Palgr.
Acacia kostermansii,I.C.Nielsen
Acacia kuhlmanii,Ducke
Acacia lacertensis,Pedley
Acacia lamprocarpa,O.Schwarz
Acacia lankaensis,Kosterm.
Acacia lasiocalyx,C.R.P.Andrews
Acacia lasiopetala,Oliv.
Acacia latescens,Benth.
Acacia latifolia,Benth.
Acacia latior,(R.S.Cowan & Maslin) Maslin & Buscumb
Acacia latispina,J.E.Burrows & S.M.Burrows
Acacia latistipulata,Harms
Acacia latzii,Maslin
Acacia leeuweniana,Maslin
Acacia legnota,Pedley
Acacia leiocalyx,(Domin) Pedley
Acacia leiophylla,Benth.
Acacia lenticularis,Buch.-Ham. ex Benth.
Acacia leprosa,Sieber ex DC.
Acacia leptocarpa,A.Cunn. ex Benth.
Acacia leptoloba,Pedley
Acacia leptopetala,Benth.
Acacia leptostachya,Benth.
Acacia leucoclada,Tindale
Acacia leucophaea,Willd.
Acacia leucospira,Brenan
Acacia ligulata,A.Cunn. ex Benth.
Acacia ligustrina,Meisn.
Acacia linearifolia,A.Cunn. ex Maiden & Blakely
Acacia linifolia,(Vent.) Willd.
Acacia loderi,Maiden
Acacia longifolia,(Andrews) Willd.
Acacia longiphyllodinea,Maiden
Acacia longispicata,Benth.
Acacia longispinea,Morrison
Acacia longissima,H.L.Wendl.
Acacia loroloba,Tindale
Acacia lucens,Bojer
Acacia luederitzii,Engl.
Acacia lunata,G.Lodd.
Acacia lysiploia,F.Muell.
Acacia mabellae,Maiden
Acacia macdonnellensis,Maconochie
Acacia macilenta,Rose
Acacia maconochieana,Pedley
Acacia macradenia,Benth.
Acacia macrostachya,Rchb. ex DC.
Acacia maidenii,F.Muell.
Acacia malacocephala,Harms
Acacia mangium,Willd.
Acacia manubensis,J.H.Ross
Acacia maranoensis,Pedley
Acacia marramamba,Maslin
Acacia masliniana,R.S.Cowan
Acacia mathuataensis,A.C.Sm.        
Acacia matthewii,Tindale & S.J.Davies
Acacia mauroceana,DC.
Acacia mbuluensis,Brenan
Acacia mearnsii,De Wild.
Acacia meeboldii,Craib
Acacia megaladena,Desv.
Acacia meiosperma,(Pedley) Pedley
Acacia melanoxylon,R.Br.
Acacia mellifera,(Vahl) Benth.
Acacia melvillei,Pedley
Acacia menabeensis,Villiers & Du Puy
Acacia merinthophora,E.Pritz.
Acacia microbotrya,Benth.
Acacia microcarpa,F.Muell.
Acacia microcephala,Pedley
Acacia microcybe,Pedley
Acacia microsperma,Pedley
Acacia midgleyi,M.W.McDonald & Maslin
Acacia mimula,Pedley
Acacia minniritchi,I.M.Turner
Acacia minyura,Randell
Acacia modesta,Wall.
Acacia moggii,Thulin & Tardelli
Acacia mollifolia,Maiden & Blakely
Acacia montana,Benth.
Acacia monticola,J.M.Black
Acacia montis-usti,Merxm. & A.Schreib.
Acacia mountfordiae,Specht
Acacia mucronata,Willd. ex H.L.Wendl.
Acacia muelleriana,Maiden & R.T.Baker
Acacia mulganeura,Maslin & J.E.Reid
Acacia multisiliqua,(Benth.) Maconochie
Acacia multistipulosa,Tindale & Bedward
Acacia murrayana,F.Muell. ex Benth.
Acacia myaingii,Lace
Acacia myrmecophila,R.Vig.
Acacia myrmecophylla,Mart. ex Colla
Acacia myrtifolia,(Sm.) Willd.
Acacia nanodealbata,J.H.Willis
Acacia natalitia,E.Mey.
Acacia nebrownii,Burtt Davy
Acacia negrii,Pic.Serm.
Acacia neriifolia,A.Cunn. ex Benth.
Acacia neurocarpa,A.Cunn. ex Hook.
Acacia neurophylla,W.Fitzg.
Acacia nyssophylla,F.Muell.
Acacia obliquinervia,Tindale
Acacia obtusifolia,A.Cunn.
Acacia occidentalis,Rose
Acacia ochracea,Thulin & A.S.Hassan
Acacia oerfota,(Forssk.) Schweinf.
Acacia ogadensis,Chiov.
Acacia oldfieldii,F.Muell.
Acacia olgana,Maconochie
Acacia oligoneura,F.Muell.
Acacia oliveri,Vatke
Acacia olsenii,Tindale
Acacia omalophylla,A.Cunn. ex Benth.
Acacia ommatosperma,(Pedley) Pedley
Acacia oncinocarpa,Benth.
Acacia oncinophylla,Benth.
Acacia oraria,F.Muell.
Acacia origena,Asfaw
Acacia orites,Pedley
Acacia ormocarpoides,P.J.H.Hurter
Acacia orthocarpa,F.Muell.
Acacia oshanesii,F.Muell. & Maiden
Acacia oswaldii,F.Muell.
Acacia ouyrarema,(Aubl.) DC.
Acacia oxycedrus,Sieber ex DC.
Acacia pachyacra,Maiden
Acacia pachycarpa,F.Muell. ex Benth.
Acacia pachyceras,O.Schwartz
Acacia palustris,Luehm.
Acacia paolii,Chiov.
Acacia papyrocarpa,Benth.
Acacia paradoxa,DC.
Acacia paraneura,Randell
Acacia parramattensis,Tindale
Acacia parviflora,Little
Acacia parvipinnula,Tindale
Acacia pataczekii,D.I.Morris
Acacia pedleyi,Tindale & Kodela
Acacia pellita,O.Schwarz
Acacia pendula,A.Cunn. ex G.Don
Acacia peninsularis,(Britton & Rose) Standl.
Acacia pennata,(L.) Willd.
Acacia penninervis,Sieber ex DC.
Acacia pennivenia,Balf.f.
Acacia pentadenia,Lindl.
Acacia pentagona,(Schum. & Thonn.) Hook.f.
Acacia permixta,Burtt Davy
Acacia persiciflora,Pax
Acacia petraea,Pedley
Acacia petrensis,Thulin
Acacia peuce,F.Muell.
Acacia phlebophylla,F.Muell.
Acacia pickardii,Tindale
Acacia pilispina,Pic.Serm.
Acacia planifrons,Wight & Arn.
Acacia platycarpa,F.Muell.
Acacia plectocarpa,A.Cunn. ex Benth.
Acacia podalyriifolia,A.Cunn. ex G.Don
Acacia polifolia,Pedley
Acacia polyadenia,(Pedley) Pedley
Acacia polybotrya,Benth.
Acacia polystachya,A.Cunn. ex Benth.
Acacia praelongata,F.Muell.
Acacia prainii,Maiden
Acacia prasinata,Asfaw
Acacia pravissima,F.Muell.
Acacia proiantha,Pedley
Acacia prominens,A.Cunn. ex G.Don
Acacia pruinescens,Kurz
Acacia pruinocarpa,Tindale
Acacia pseudoeburnea,J.R.Drumm. ex Dunn
Acacia pseudofistula,Harms
Acacia pseudonigrescens,Brenan & J.H.Ross
Acacia pteraneura,Maslin & J.E.Reid
Acacia pteridifolia,Benth.
Acacia pubescens,(Vent.) R.Br.
Acacia pubicosta,C.T.White
Acacia pubifolia,Pedley
Acacia pubirhachis,Pedley
Acacia pulchella,R.Br.
Acacia pustula,Maiden
Acacia pycnantha,Benth.
Acacia pycnostachya,F.Muell. ex Benth.
Acacia pyrifolia,DC.
Acacia qandalensis,Thulin
Acacia quadrimarginea,F.Muell.
Acacia quintanilhae,Torre
Acacia racospermoides,Pedley
Acacia ramulosa,W.Fitzg.
Acacia redolens,Maslin
Acacia reficiens,Wawra & Peyr.
Acacia rehmanniana,Schinz
Acacia resinimarginea,W.Fitzg.
Acacia resinistipulea,W.Fitzg.
Acacia retinervis,Benth.
Acacia retinodes,Schltdl.
Acacia retusa,(Jacq.) R.A.Howard
Acacia rhodophloia,Maslin
Acacia rhodoxylon,Maiden
Acacia riceana,Hemsl.
Acacia richii,A.Gray
Acacia rigens,A.Cunn. ex G.Don
Acacia rigidula,Benth.
Acacia riparia,Kunth
Acacia rivalis,J.M.Black
Acacia robbertsei,P.P.Sw. ex Coates Palgr.
Acacia robusta,Burch.
Acacia robynsiana,Merxm. & A.Schreib.
Acacia roemeriana,Scheele
Acacia rostellifera,Benth.
Acacia rostriformis,Maslin & D.J.Murphy
Acacia rothii,F.M.Bailey
Acacia rovumae,Oliv.
Acacia roycei,Maslin
Acacia rubida,A.Cunn.
Acacia saliciformis,Tindale
Acacia salicina,Lindl.
Acacia saligna,(Labill.) H.L.Wendl.
Acacia sarcophylla,Chiov.
Acacia saxatilis,S.Moore
Acacia schinoides,Benth.
Acacia schweinfurthii,Brenan & Exell
Acacia scirpifolia,Meisn.
Acacia sclerosperma,F.Muell.
Acacia scopulorum,Pedley
Acacia seclusa,M.W.McDonald
Acacia sekhukhuniensis,P.J.H.Hurter
Acacia semilunata,Maiden & Blakely
Acacia semirigida,Maiden
Acacia sericata,A.Cunn. ex Benth.
Acacia sericoflora,Pedley
Acacia shirleyana,Domin
Acacia shirleyi,Maiden
Acacia sibilans,Maslin
Acacia sibina,Maslin
Acacia sibirica,S.Moore
Acacia sieberiana,DC.
Acacia signata,F.Muell.
Acacia silvestris,Tindale
Acacia simplex,(Sparrm.) Pedley
Acacia simsii,A.Cunn. ex Benth.
Acacia solenota,Pedley
Acacia somalensis,Vatke
Acacia spania,Pedley
Acacia sparsiflora,Maiden
Acacia speckii,R.S.Cowan & Maslin
Acacia spectabilis,A.Cunn. ex Benth.
Acacia spectra,Lewington & Maslin
Acacia spirorbis,Labill.
Acacia splendens,Maslin & C.P.Elliott
Acacia steedmanii,Maiden & Blakely
Acacia stenophylla,A.Cunn. ex Benth.
Acacia stereophylla,Meisn.
Acacia stictophylla,Court ex Maslin & D.J.Murphy
Acacia stipuligera,F.Muell.
Acacia storyi,Tindale
Acacia striatifolia,Pedley
Acacia stricta,(Andrews) Willd.
Acacia strongylophylla,F.Muell.
Acacia stuhlmannii,Taub.
Acacia subangulata,Rose
Acacia subporosa,F.Muell.
Acacia subtessarogona,Tindale & Maslin
Acacia subtilinervis,F.Muell.
Acacia subulata,Bonpl. ex Vent.
Acacia sutherlandii,(F.Muell.) F.Muell.
Acacia swazica,Burtt Davy
Acacia symonii,Whibley
Acacia synchronicia,Maslin
Acacia synoria,Maslin
Acacia tanganyikensis,Brenan
Acacia tanjorensis,"Ragup., Thoth. & A.Mahad."
Acacia teniana,Harms
Acacia tenuinervis,Pedley
Acacia tenuispica,Maslin
Acacia tenuissima,F.Muell.
Acacia tephrina,Pedley
Acacia tephrophylla,Thulin
Acacia terminalis,(Salisb.) J.F.Macbr.
Acacia tessellata,Tindale & Kodela
Acacia tetragonophylla,F.Muell.
Acacia theronii,P.P.Sw.
Acacia thomasii,Harms
Acacia thomsonii,Maslin & M.W.McDonald
Acacia tingoorensis,Pedley
Acacia tomentosa,Willd.
Acacia torrei,Brenan
Acacia torulosa,Benth.
Acacia trachycarpa,E.Pritz.
Acacia trachyphloia,Tindale
Acacia trinalis,R.S.Cowan & Maslin
Acacia trinervata,Sieber ex DC.
Acacia trineura,F.Muell.
Acacia triptera,Benth.
Acacia triptycha,F.Muell. ex Benth.
Acacia tropica,(Maiden & Blakely) Tindale
Acacia tumida,F.Muell. ex Benth.
Acacia tysonii,Luehm.
Acacia uncifera,Benth.
Acacia undoolyana,G.J.Leach
Acacia undulifolia,A.Cunn. ex G.Lodd
Acacia unguicula,R.S.Cowan & Maslin
Acacia venosa,Hochst. ex Benth.
Acacia verniciflua,A.Cunn.
Acacia veronica,Maslin
Acacia verricula,R.S.Cowan & Maslin
Acacia verticillata,(L' Hér.) Willd.
Acacia vestita,Ker Gawl.
Acacia victoriae,Benth.
Acacia viguieri,Villiers & Du Puy
Acacia viscidula,Benth.
Acacia visite,Griseb.
Acacia walwalensis,Gilliland
Acacia wanyu,Tindale
Acacia wardellii,Tindale
Acacia wattsiana,F.Muell. ex Benth.
Acacia weberbaueri,Harms
Acacia websteri,Maiden
Acacia welwitschii,Oliv.
Acacia wetarensis,Pedley
Acacia wilcoxii,Maslin
Acacia willingii,Lewington & Maslin
Acacia wrightii,A.Gray
Acacia xanthina,Benth.
Acacia xiphophylla,E.Pritz.
Acacia yorkrakinensis,C.A.Gardner
Acacia zanzibarica,(S.Moore) Taub.
Acaciella angustissima,(Mill.) Britton & Rose
Acaciella chamelensis,(L.Rico) L.Rico
Acaciella glauca,(L.) L. Rico
Acaciella goldmanii,Britton & Rose
Acaciella rosei,(Standl.) Britton & Rose
Acaciella villosa,(Sw.) Britton & Rose
Acalypha acrogyna,Pax
